IS_DEFAULT,LOAD_DATA_TS,MAX_NUM_ALLOWED,MIN_NUM_REQUIRED,PRODUCT_UNIQUE_ID,ROLE_ID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      <endrec>
"1","","10","1","937192532","500000000000011802"<endrec>
"1","","10","1","937198561","500000000000011802"<endrec>
"1","","10","1","937198587","500000000000011802"<endrec>
"0","","20","0","937198587","500000000000011803"<endrec>
"0","","10","2","937198587","500000000000011902"<endrec>
"1","","10","1","937199551","500000000000011802"<endrec>
"0","","20","0","937199551","500000000000011803"<endrec>
"0","","10","2","937199551","500000000000011902"<endrec>
"1","","10","1","937201530","500000000000011802"<endrec>
"0","","20","0","937201530","500000000000011803"<endrec>
"0","","10","2","937201530","500000000000011902"<endrec>
"1","","10","1","937203546","500000000000011802"<endrec>
"0","","20","0","937203546","500000000000011803"<endrec>
"0","","10","2","937203546","500000000000011902"<endrec>
"1","","10","1","937205566","500000000000011802"<endrec>
"0","","20","0","937205566","500000000000011803"<endrec>
"0","","10","2","937205566","500000000000011902"<endrec>
"1","","10","1","937205567","500000000000011802"<endrec>
"0","","20","0","937205567","500000000000011803"<endrec>
"0","","10","2","937205567","500000000000011902"<endrec>
"1","","10","1","937205607","500000000000011802"<endrec>
"1","","20","1","937205607","500000000000011803"<endrec>
"0","","10","2","937205607","500000000000011902"<endrec>
"1","","10","1","937205608","500000000000011802"<endrec>
"0","","20","4","937205608","500000000000011803"<endrec>
"0","","10","2","937205608","500000000000011902"<endrec>
"1","","10","1","937205609","500000000000011802"<endrec>
"0","","20","4","937205609","500000000000011803"<endrec>
"0","","2","2","937205609","500000000000011902"<endrec>
"1","","10","1","937205610","500000000000011802"<endrec>
"0","","2","0","937205610","500000000000011803"<endrec>
"0","","2","2","937205610","500000000000011902"<endrec>
"1","","10","1","937205611","500000000000011802"<endrec>
"0","","1","0","937205611","500000000000011803"<endrec>
"0","","2","2","937205611","500000000000011902"<endrec>
"1","","10","1","937205612","500000000000011802"<endrec>
"0","","20","0","937205612","500000000000011803"<endrec>
"0","","20","2","937205612","500000000000011902"<endrec>
"1","","10","1","937205620","500000000000011802"<endrec>
"0","","20","0","937205620","500000000000011803"<endrec>
"0","","20","2","937205620","500000000000011902"<endrec>
"1","","10","1","937205621","500000000000011802"<endrec>
"0","","20","0","937205621","500000000000011803"<endrec>
"0","","10","2","937205621","500000000000011902"<endrec>
"1","","10","1","937205633","500000000000011802"<endrec>
"0","","20","0","937205633","500000000000011803"<endrec>
"0","","20","2","937205633","500000000000011902"<endrec>
"1","","10","1","937205635","500000000000011802"<endrec>
"0","","20","0","937205635","500000000000011803"<endrec>
"0","","10","2","937205635","500000000000011902"<endrec>
"1","","10","1","937205662","500000000000011802"<endrec>
"0","","20","0","937205662","500000000000011803"<endrec>
"0","","20","2","937205662","500000000000011902"<endrec>
"1","","10","1","937205663","500000000000011802"<endrec>
"0","","20","0","937205663","500000000000011803"<endrec>
"0","","10","2","937205663","500000000000011902"<endrec>
"1","","10","1","937205705","500000000000011802"<endrec>
"0","","20","0","937205705","500000000000011803"<endrec>
"0","","20","2","937205705","500000000000011902"<endrec>
"1","","10","1","937210650","500000000000011802"<endrec>
"0","","1","0","937210650","500000000000011803"<endrec>
"0","","20","2","937210650","500000000000011902"<endrec>
"1","","10","1","937210651","500000000000011802"<endrec>
"0","","20","0","937210651","500000000000011803"<endrec>
"0","","20","2","937210651","500000000000011902"<endrec>
"1","","10","1","937210652","500000000000011802"<endrec>
"0","","20","2","937210652","500000000000011902"<endrec>
"1","","10","1","937210653","500000000000011802"<endrec>
"0","","20","2","937210653","500000000000011902"<endrec>
"1","","10","1","937210687","500000000000011802"<endrec>
"0","","20","0","937210687","500000000000011803"<endrec>
"0","","10","2","937210687","500000000000011902"<endrec>
"1","","10","1","937210688","500000000000011802"<endrec>
"0","","20","0","937210688","500000000000011803"<endrec>
"0","","20","2","937210688","500000000000011902"<endrec>
"1","","10","1","937210705","500000000000011802"<endrec>
"0","","20","0","937210705","500000000000011803"<endrec>
"0","","20","2","937210705","500000000000011902"<endrec>
"1","","10","1","937210706","500000000000011802"<endrec>
"0","","20","0","937210706","500000000000011803"<endrec>
"0","","10","2","937210706","500000000000011902"<endrec>
"1","","10","2","937210752","500000000000011902"<endrec>
"1","","10","1","937210778","500000000000011802"<endrec>
"0","","20","0","937210778","500000000000011803"<endrec>
"0","","20","2","937210778","500000000000011902"<endrec>
"1","","10","1","937210790","500000000000011802"<endrec>
"0","","20","0","937210790","500000000000011803"<endrec>
"0","","20","2","937210790","500000000000011902"<endrec>
"1","","10","1","937213619","500000000000011802"<endrec>
"0","","20","0","937213619","500000000000011803"<endrec>
"0","","20","2","937213619","500000000000011902"<endrec>
"1","","10","1","937215543","500000000000011802"<endrec>
"0","","20","0","937215543","500000000000011803"<endrec>
"0","","20","2","937215543","500000000000011902"<endrec>
"1","","10","1","937215583","500000000000011802"<endrec>
"0","","20","0","937215583","500000000000011803"<endrec>
"0","","10","2","937215583","500000000000011902"<endrec>
"1","","10","1","937215603","500000000000011802"<endrec>
"0","","20","0","937215603","500000000000011803"<endrec>
"0","","20","2","937215603","500000000000011902"<endrec>
"1","","10","1","937215604","500000000000011802"<endrec>
"0","","20","0","937215604","500000000000011803"<endrec>
"0","","10","2","937215604","500000000000011902"<endrec>
"1","","10","1","937215663","500000000000011802"<endrec>
"0","","20","0","937215663","500000000000011803"<endrec>
"0","","10","2","937215663","500000000000011902"<endrec>
"1","","10","1","937215664","500000000000011802"<endrec>
"0","","20","0","937215664","500000000000011803"<endrec>
"0","","10","2","937215664","500000000000011902"<endrec>
"1","","10","1","937215682","500000000000011802"<endrec>
"0","","20","0","937215682","500000000000011803"<endrec>
"0","","10","2","937215682","500000000000011902"<endrec>
"1","","10","1","937215683","500000000000011802"<endrec>
"0","","20","0","937215683","500000000000011803"<endrec>
"0","","10","2","937215683","500000000000011902"<endrec>
"1","","10","1","937216655","500000000000011802"<endrec>
"0","","20","0","937216655","500000000000011803"<endrec>
"0","","20","1","937216655","500000000000011902"<endrec>
"1","","2","1","937217546","500000000000011802"<endrec>
"0","","20","0","937217546","500000000000011803"<endrec>
"0","","20","1","937217546","500000000000011902"<endrec>
"1","","2","1","937217555","500000000000011802"<endrec>
"1","","2","1","937217556","500000000000011802"<endrec>
"0","","10","0","937217556","500000000000011803"<endrec>
"0","","2","0","937217556","500000000000011902"<endrec>
"1","","10","1","937217557","500000000000011802"<endrec>
"0","","20","0","937217557","500000000000011803"<endrec>
"0","","10","0","937217557","500000000000011902"<endrec>
"1","","10","1","937217559","500000000000011902"<endrec>
"1","","2","1","937217622","500000000000011802"<endrec>
"0","","10","0","937217622","500000000000011803"<endrec>
"0","","2","0","937217622","500000000000011902"<endrec>
"1","","10","1","937218558","500000000000011802"<endrec>
"0","","20","0","937218558","500000000000011803"<endrec>
"0","","10","0","937218558","500000000000011902"<endrec>
"1","","2","1","937218630","500000000000011802"<endrec>
"0","","10","0","937218630","500000000000011803"<endrec>
"0","","2","0","937218630","500000000000011902"<endrec>
"1","","2","1","937218681","500000000000011802"<endrec>
"0","","10","0","937218681","500000000000011803"<endrec>
"0","","2","0","937218681","500000000000011902"<endrec>
"1","","10","1","937218682","500000000000011802"<endrec>
"0","","20","0","937218682","500000000000011803"<endrec>
"0","","10","0","937218682","500000000000011902"<endrec>
"1","","2","1","937218817","500000000000011802"<endrec>
"0","","10","0","937218817","500000000000011803"<endrec>
"1","","10","1","937218817","500000000000011902"<endrec>
"1","","10","1","937218818","500000000000011802"<endrec>
"0","","20","0","937218818","500000000000011803"<endrec>
"1","","10","1","937218818","500000000000011902"<endrec>
"1","","2","1","937218843","500000000000011802"<endrec>
"0","","10","0","937218843","500000000000011803"<endrec>
"1","","10","1","937218843","500000000000011902"<endrec>
"1","","10","1","937218844","500000000000011802"<endrec>
"0","","20","0","937218844","500000000000011803"<endrec>
"1","","10","1","937218844","500000000000011902"<endrec>
"1","","2","1","937219113","500000000000011802"<endrec>
"0","","10","0","937219113","500000000000011803"<endrec>
"1","","10","1","937219113","500000000000011902"<endrec>
"1","","10","1","937219114","500000000000011802"<endrec>
"0","","20","0","937219114","500000000000011803"<endrec>
"1","","10","1","937219114","500000000000011902"<endrec>
"1","","2","1","937219400","500000000000011802"<endrec>
"0","","10","0","937219400","500000000000011803"<endrec>
"1","","10","1","937219400","500000000000011902"<endrec>
"1","","10","1","937219401","500000000000011802"<endrec>
"0","","20","0","937219401","500000000000011803"<endrec>
"1","","10","1","937219401","500000000000011902"<endrec>
"1","","2","1","937219408","500000000000011802"<endrec>
"0","","10","0","937219408","500000000000011803"<endrec>
"1","","10","1","937219408","500000000000011902"<endrec>
"1","","10","1","937219410","500000000000011802"<endrec>
"0","","20","0","937219410","500000000000011803"<endrec>
"1","","10","1","937219410","500000000000011902"<endrec>
"1","","3","2","937227541","500000000000012302"<endrec>
"1","","3","2","937227542","500000000000012302"<endrec>
"1","","50","1","937227611","500000000000011902"<endrec>
"1","","2","1","937229623","500000000000011802"<endrec>
"0","","10","0","937229623","500000000000011803"<endrec>
"1","","10","1","937229623","500000000000011902"<endrec>
"1","","50","1","937229668","500000000000011902"<endrec>
"1","","2","1","937230549","500000000000011802"<endrec>
"0","","10","0","937230549","500000000000011803"<endrec>
"1","","10","1","937230549","500000000000011902"<endrec>
"1","","10","1","937230550","500000000000011802"<endrec>
"0","","20","0","937230550","500000000000011803"<endrec>
"1","","10","1","937230550","500000000000011902"<endrec>
"1","","2","1","937230578","500000000000011802"<endrec>
"0","","10","0","937230578","500000000000011803"<endrec>
"1","","10","0","937230578","500000000000011902"<endrec>
"1","","2","1","937230579","500000000000011802"<endrec>
"0","","10","0","937230579","500000000000011803"<endrec>
"1","","10","1","937230579","500000000000011902"<endrec>
"1","","2","1","937230580","500000000000011802"<endrec>
"0","","10","0","937230580","500000000000011803"<endrec>
"0","","10","0","937230580","500000000000011902"<endrec>
"1","","2","1","937230636","500000000000011802"<endrec>
"0","","10","0","937230636","500000000000011803"<endrec>
"0","","10","0","937230636","500000000000011902"<endrec>
"1","","10","1","937230637","500000000000011802"<endrec>
"0","","20","0","937230637","500000000000011803"<endrec>
"1","","10","1","937230637","500000000000011902"<endrec>
"1","","2","1","937230638","500000000000011802"<endrec>
"0","","10","0","937230638","500000000000011803"<endrec>
"0","","10","0","937230638","500000000000011902"<endrec>
"1","","50","1","937231549","500000000000011902"<endrec>
"1","","20","2","937244701","500000000000011902"<endrec>
"1","","10","1","937264707","500000000000011802"<endrec>
"0","","20","1","937264707","500000000000011902"<endrec>
"1","","2","1","937276820","500000000000011802"<endrec>
"0","","10","2","937276820","500000000000011803"<endrec>
"0","","10","1","937276820","500000000000011902"<endrec>
"1","","2","1","937276825","500000000000011802"<endrec>
"0","","10","3","937276825","500000000000011803"<endrec>
"0","","10","1","937276825","500000000000011902"<endrec>
"1","","2","1","937276827","500000000000011802"<endrec>
"0","","10","1","937276827","500000000000011803"<endrec>
"0","","10","1","937276827","500000000000011902"<endrec>
"1","","2","1","937279848","500000000000011802"<endrec>
"0","","10","1","937279848","500000000000011803"<endrec>
"1","","10","1","937280833","500000000000011802"<endrec>
"0","","5","1","937294820","500000000000011802"<endrec>
"1","","5","1","937294820","500000000000011902"<endrec>
"1","","2","1","937294821","500000000000011802"<endrec>
"0","","10","0","937294821","500000000000011803"<endrec>
"1","","2","1","937294822","500000000000011802"<endrec>
"0","","10","0","937294822","500000000000011803"<endrec>
"1","","10","1","937294823","500000000000011802"<endrec>
"0","","10","1","937294823","500000000000011902"<endrec>
"1","","2","1","937298836","500000000000011802"<endrec>
"0","","10","0","937298836","500000000000011803"<endrec>
"1","","10","1","937308867","500000000000011802"<endrec>
"0","","10","0","937308867","500000000000011803"<endrec>
"0","","10","1","937308867","500000000000011902"<endrec>
"1","","2","1","937309869","500000000000011802"<endrec>
"0","","10","0","937309869","500000000000011803"<endrec>
"1","","2","1","937319872","500000000000011802"<endrec>
"0","","10","0","937319872","500000000000011803"<endrec>
"1","","2","1","937326874","500000000000011802"<endrec>
"0","","10","0","937326874","500000000000011803"<endrec>
"1","","10","1","937327883","500000000000011802"<endrec>
"0","","10","1","937327883","500000000000011803"<endrec>
"0","","10","0","937327883","500000000000011902"<endrec>
"1","","10","1","937327884","500000000000011802"<endrec>
"0","","10","1","937327884","500000000000011803"<endrec>
"1","","10","0","937327884","500000000000011902"<endrec>
"1","","10","1","937327924","500000000000011802"<endrec>
"0","","10","1","937327924","500000000000011902"<endrec>
"1","","2","1","937329936","500000000000011802"<endrec>
"0","","10","0","937329936","500000000000011803"<endrec>
"1","","1","1","937329936","500000000000011902"<endrec>
"1","","10","1","937340903","500000000000011802"<endrec>
"0","","10","1","937340903","500000000000011902"<endrec>
"1","","5","1","937340954","500000000000011802"<endrec>
"0","","10","0","937340954","500000000000011803"<endrec>
"1","","5","1","937340954","500000000000011902"<endrec>
"1","","5","1","937341008","500000000000011802"<endrec>
"0","","10","0","937341008","500000000000011803"<endrec>
"1","","5","0","937341008","500000000000011902"<endrec>
"1","","5","1","937351925","500000000000011802"<endrec>
"0","","10","0","937351925","500000000000011803"<endrec>
"0","","5","0","937351925","500000000000011902"<endrec>
"1","","10","1","937351959","500000000000011802"<endrec>
"0","","10","1","937351959","500000000000011803"<endrec>
"0","","10","1","937351959","500000000000011902"<endrec>
"1","","10","1","937356994","500000000000011802"<endrec>
"0","","20","1","937356994","500000000000011902"<endrec>
"1","","10","1","937359061","500000000000011802"<endrec>
"0","","10","1","937359061","500000000000011902"<endrec>
"1","","10","1","937359062","500000000000011802"<endrec>
"0","","10","1","937359062","500000000000011902"<endrec>
"1","","5","1","937364008","500000000000011802"<endrec>
"0","","10","0","937364008","500000000000011803"<endrec>
"0","","5","0","937364008","500000000000011902"<endrec>
"1","","10","1","937366342","500000000000011802"<endrec>
"0","","10","1","937366342","500000000000011902"<endrec>
"1","","10","1","937368431","500000000000011802"<endrec>
"0","","10","1","937368431","500000000000011902"<endrec>
"1","","5","1","937369424","500000000000011802"<endrec>
"0","","10","0","937369424","500000000000011803"<endrec>
"0","","5","0","937369424","500000000000011902"<endrec>
"1","","10","1","937371488","500000000000011802"<endrec>
"0","","10","1","937371488","500000000000011902"<endrec>
"1","","10","1","937371523","500000000000011802"<endrec>
"0","","10","1","937371523","500000000000011902"<endrec>
"1","","10","1","937371644","500000000000011802"<endrec>
"0","","10","1","937371644","500000000000011902"<endrec>
"1","","10","1","937374465","500000000000011802"<endrec>
"0","","10","1","937374465","500000000000011902"<endrec>
"1","","10","1","937376558","500000000000011802"<endrec>
"0","","10","1","937376558","500000000000011902"<endrec>
"1","","5","1","937376584","500000000000011802"<endrec>
"0","","10","0","937376584","500000000000011803"<endrec>
"0","","5","0","937376584","500000000000011902"<endrec>
"1","","5","2","937377456","500000000000011802"<endrec>
"0","","10","0","937377456","500000000000011803"<endrec>
"0","","5","0","937377456","500000000000011902"<endrec>
"1","","5","1","937377466","500000000000011802"<endrec>
"0","","10","0","937377466","500000000000011803"<endrec>
"0","","5","0","937377466","500000000000011902"<endrec>
"1","","5","1","937377483","500000000000011802"<endrec>
"0","","10","0","937377483","500000000000011803"<endrec>
"0","","5","1","937377483","500000000000011902"<endrec>
"1","","5","1","937377509","500000000000011802"<endrec>
"0","","10","0","937377509","500000000000011803"<endrec>
"0","","5","1","937377509","500000000000011902"<endrec>
"1","","5","1","937377529","500000000000011802"<endrec>
"0","","10","0","937377529","500000000000011803"<endrec>
"0","","5","0","937377529","500000000000011902"<endrec>
"1","","10","1","937379505","500000000000011802"<endrec>
"0","","10","0","937379505","500000000000011803"<endrec>
"0","","10","0","937379505","500000000000011902"<endrec>
"1","","5","1","937380492","500000000000011802"<endrec>
"0","","10","0","937380492","500000000000011803"<endrec>
"0","","5","2","937380492","500000000000011902"<endrec>
"1","","5","1","937380536","500000000000011802"<endrec>
"0","","10","0","937380536","500000000000011803"<endrec>
"0","","5","2","937380536","500000000000011902"<endrec>
"1","","5","1","937380549","500000000000011802"<endrec>
"0","","10","0","937380549","500000000000011803"<endrec>
"0","","5","2","937380549","500000000000011902"<endrec>
"1","","10","1","937380550","500000000000011802"<endrec>
"0","","20","1","937380550","500000000000011902"<endrec>
"1","","10","1","937381566","500000000000011802"<endrec>
"0","","10","0","937381566","500000000000011803"<endrec>
"0","","10","0","937381566","500000000000011902"<endrec>
"1","","10","1","937392591","500000000000011802"<endrec>
"0","","20","1","937392591","500000000000011902"<endrec>
"1","","10","1","937392601","500000000000011802"<endrec>
"0","","20","1","937392601","500000000000011902"<endrec>
"1","","1","1","937392666","500000000000011802"<endrec>
"0","","1","0","937392666","500000000000011803"<endrec>
"0","","1","1","937392666","500000000000011902"<endrec>
"1","","5","1","937392667","500000000000011802"<endrec>
"0","","10","0","937392667","500000000000011803"<endrec>
"0","","5","2","937392667","500000000000011902"<endrec>
"1","","5","1","937392669","500000000000011802"<endrec>
"0","","10","0","937392669","500000000000011803"<endrec>
"0","","5","1","937392669","500000000000011902"<endrec>
"1","","5","1","937392685","500000000000011802"<endrec>
"0","","10","0","937392685","500000000000011803"<endrec>
"0","","5","1","937392685","500000000000011902"<endrec>
"1","","5","1","937392686","500000000000011802"<endrec>
"0","","10","0","937392686","500000000000011803"<endrec>
"0","","5","1","937392686","500000000000011902"<endrec>
"1","","5","1","937392691","500000000000011802"<endrec>
"0","","10","0","937392691","500000000000011803"<endrec>
"0","","5","0","937392691","500000000000011902"<endrec>
"1","","1","0","937392695","500000000000011802"<endrec>
"0","","1","0","937392695","500000000000011803"<endrec>
"0","","1","0","937392695","500000000000011902"<endrec>
"1","","1","1","937392696","500000000000011802"<endrec>
"0","","1","1","937392696","500000000000011803"<endrec>
"0","","1","1","937392696","500000000000011902"<endrec>
"1","","1","1","937392725","500000000000011802"<endrec>
"1","","1","1","937392725","500000000000011803"<endrec>
"1","","1","1","937392725","500000000000011902"<endrec>
"1","","1","1","937392748","500000000000011802"<endrec>
"1","","1","0","937392748","500000000000011803"<endrec>
"1","","1","0","937392748","500000000000011902"<endrec>
"1","","5","1","937392749","500000000000011802"<endrec>
"1","","5","0","937392749","500000000000011803"<endrec>
"1","","5","0","937392749","500000000000011902"<endrec>
"1","","10","1","937400929","500000000000011802"<endrec>
"0","","10","0","937400929","500000000000011803"<endrec>
"0","","10","0","937400929","500000000000011902"<endrec>
"1","","10","1","937403956","500000000000011802"<endrec>
"0","","20","1","937403956","500000000000011902"<endrec>
"1","","5","1","937406009","500000000000011802"<endrec>
"1","","5","0","937406009","500000000000011803"<endrec>
"0","","5","1","937406009","500000000000011902"<endrec>
"1","","10","1","937407030","500000000000011802"<endrec>
"0","","10","1","937407030","500000000000011902"<endrec>
"1","","5","1","937415092","500000000000011802"<endrec>
"1","","5","0","937415092","500000000000011803"<endrec>
"0","","5","2","937415092","500000000000011902"<endrec>
"1","","10","1","937415105","500000000000011802"<endrec>
"0","","20","1","937415105","500000000000011902"<endrec>
"1","","5","1","937415197","500000000000011802"<endrec>
"1","","5","0","937415197","500000000000011803"<endrec>
"1","","5","1","937415198","500000000000011802"<endrec>
"1","","5","0","937415198","500000000000011803"<endrec>
"1","","5","1","937415207","500000000000011802"<endrec>
"1","","5","0","937415207","500000000000011803"<endrec>
"0","","5","0","937415207","500000000000011902"<endrec>
"1","","10","1","937417069","500000000000011902"<endrec>
"0","","3","0","937417070","500000000000011802"<endrec>
"0","","3","0","937417070","500000000000011803"<endrec>
"1","","10","1","937417070","500000000000011902"<endrec>
"1","","5","1","937417073","500000000000011802"<endrec>
"1","","5","0","937417073","500000000000011803"<endrec>
"0","","5","2","937417073","500000000000011902"<endrec>
"1","","5","1","937417186","500000000000011802"<endrec>
"1","","5","0","937417186","500000000000011803"<endrec>
"0","","5","1","937417186","500000000000011902"<endrec>
